"Status";"Live-URL";"Live-Pfad";"Static-Dateipfad";"Static-URL (abgeleitet)";"Static-Pfad";"Hinweis"
"Beide";"https://igienair.de/unternehmen/sicherheit";"/unternehmen/sicherheit/";"unternehmen/sicherheit/index.html";"https://igienair.de/unternehmen/sicherheit/";"/unternehmen/sicherheit/";""
"Beide";"https://igienair.de/unternehmen/umweltschutz";"/unternehmen/umweltschutz/";"unternehmen/umweltschutz/index.html";"https://igienair.de/unternehmen/umweltschutz/";"/unternehmen/umweltschutz/";""
"Beide";"https://igienair.de/unternehmen/zertifizierungen";"/unternehmen/zertifizierungen/";"unternehmen/zertifizierungen/index.html";"https://igienair.de/unternehmen/zertifizierungen/";"/unternehmen/zertifizierungen/";""
"Nur Static";"";"";"danke/index.html";"https://igienair.de/danke/";"/danke/";"Danke-Seite nach Formular – ggf. nicht in Live-Sitemap"
"Nur Static (Legacy-Stub)";"";"";"gastronomie/index.html";"https://igienair.de/gastronomie/";"/gastronomie/";"Alte Root-URL; kanonische Seite unter /kunden/ oder /leistungen/"
"Nur Static (Legacy-Stub)";"";"";"gemeinden/index.html";"https://igienair.de/gemeinden/";"/gemeinden/";"Alte Root-URL; kanonische Seite unter /kunden/ oder /leistungen/"
"Nur Static (Legacy-Stub)";"";"";"gesundheitswesen/index.html";"https://igienair.de/gesundheitswesen/";"/gesundheitswesen/";"Alte Root-URL; kanonische Seite unter /kunden/ oder /leistungen/"
"Nur Static (Legacy-Stub)";"";"";"inspektionundgutachten/index.html";"https://igienair.de/inspektionundgutachten/";"/inspektionundgutachten/";"Alte Root-URL; kanonische Seite unter /kunden/ oder /leistungen/"
"Nur Static (Legacy-Stub)";"";"";"instandsetzung-sanierung/index.html";"https://igienair.de/instandsetzung-sanierung/";"/instandsetzung-sanierung/";"Alte Root-URL; kanonische Seite unter /kunden/ oder /leistungen/"
"Nur Static (Legacy-Stub)";"";"";"lebensmittel/index.html";"https://igienair.de/lebensmittel/";"/lebensmittel/";"Alte Root-URL; kanonische Seite unter /kunden/ oder /leistungen/"
"Nur Static (Legacy-Stub)";"";"";"pharma/index.html";"https://igienair.de/pharma/";"/pharma/";"Alte Root-URL; kanonische Seite unter /kunden/ oder /leistungen/"
"Nur Static (Legacy-Stub)";"";"";"reinigung-desinfektion/index.html";"https://igienair.de/reinigung-desinfektion/";"/reinigung-desinfektion/";"Alte Root-URL; kanonische Seite unter /kunden/ oder /leistungen/"
